Months/Years,Production of Steel (in Thousand Tonnes)
Weight(%),6.684
Base Values,3626.1
 April-2004,3283
 May-2004,3487
 June-2004,3427
 July-2004,3585
 August-2004,3561
 September-2004,3579
 October-2004,3625
 November-2004,3640
 December-2004,3688
 January-2005,3818
 February-2005,3603
 March-2005,4217
 April-2005,3567
 May-2005,3523
 June-2005,3568
 July-2005,3551
 August-2005,3804
 September-2005,3737
 October-2005,4050
 November-2005,4022
 December-2005,4142
 January-2006,4201
 February-2006,3897
 March-2006,4504
 April-2006,4053
 May-2006,4027
 June-2006,4058
 July-2006,4127
 August-2006,4209
 September-2006,4176
 October-2006,4523
 November-2006,4438
 December-2006,4606
 January-2007,4599
 February-2007,4471
 March-2007,5242
 April-2007,4424
 May-2007,4525
 June-2007,4313
 July-2007,4470
 August-2007,4718
 September-2007,4697
 October-2007,4931
 November-2007,4670
 December-2007,4852
 January-2008,4639
 February-2008,4612
 March-2008,5224
 April-2008,4796
 May-2008,4948
 June-2008,4664
 July-2008,4771
 August-2008,4886
 September-2008,4803
 October-2008,4780
 November-2008,4380
 December-2008,4473
 January-2009,4773
 February-2009,4752
 March-2009,5139
 April-2009,4592
 May-2009,4942
 June-2009,5030
 July-2009,5306
 August-2009,4953
 September-2009,4808
 October-2009,4926
 November-2009,4956
 December-2009,5180
 January-2010,5611
 February-2010,4762
 March-2010,5557
 April-2010,5540
 May-2010,5613
 June-2010,5451
 July-2010,5330
 August-2010,5755
 September-2010,5567
 October-2010,5813
 November-2010,5308
 December-2010,5814
 January-2011,6350
 February-2011,5858
 March-2011,6222
 April-2011,6022
 May-2011,6239
 June-2011,6098
 July-2011,6296
 August-2011,6256
 September-2011,6140
 October-2011,6671
 November-2011,5908
 December-2011,6460
 January-2012,6633
 February-2012,6365
 March-2012,6607
 April-2012,6159
 May-2012,6475
 June-2012,6345
 July-2012,6364
 August-2012,6435
 September-2012,6218
 October-2012,6359
 November-2012,6369
 December-2012,6996
 January-2013,7054
 February-2013,6663
 March-2013,7371
 April-2013,6784
 May-2013,7926
 June-2013,6826
 July-2013,7517
 August-2013,6958
 September-2013,6884
 October-2013,6731
 November-2013,7011
 December-2013,7723
 January-2014,7815
 February-2014,7428
 March-2014,8242
 April-2014,7252
 May-2014,8189
 June-2014,7644
 July-2014,7676
 August-2014,7612
 September-2014,7341
 October-2014,7684
 November-2014,7708
 December-2014,7726
 January-2015,8084
 February-2015,7381
 March-2015,7707
 April-2015,7253
 May-2015,8351
 June-2015,7966
 July-2015,7566
 August-2015,7357
 September-2015,7274
 October-2015,7261
 November-2015,7186
 December-2015,7487
 January-2016,7856
 February-2016,7347
 March-2016,7968
 April-2016,7698
 May-2016,8616
 June-2016,8160
 July-2016,7527
 August-2016,8606
 September-2016,8463
 October-2016,8486
 November-2016,7587
 December-2016,8606
2004-05(Apr-Mar),43513
2005-06(Apr-Mar),46566
2006-07(Apr-Mar),52529
2007-08(Apr-Mar),56075
2008-09(Apr-Mar),57165
2009-10(Apr-Mar),60623
2010-11(Apr-Mar),68621
2011-12(Apr-Mar),75695
2012-13(Apr-Mar),78808
2013-14(Apr-Mar),87845
2014-15(Apr-Mar),92004
2015-16(Apr-Mar),90872
2014-15(Apr-Dec),68832
2015-16(Apr-Dec),67701
2016-17(Apr-Dec),73749
